date,ticker,pred_dir,actual_dir
2024-04-04,AAPL,Down,Up
2024-04-08,AAPL,Down,Up
2024-04-09,AAPL,Up,Down
2024-04-10,AAPL,Down,Up
2024-04-11,AAPL,Down,Up
2024-04-12,AAPL,Up,Down
2024-04-15,AAPL,Up,Down
2024-04-16,AAPL,Up,Down
2024-04-19,AAPL,Down,Up
2024-04-22,AAPL,Down,Up
2024-04-23,AAPL,Down,Up
2024-04-24,AAPL,Down,Up
2024-04-26,AAPL,Down,Up
2024-04-29,AAPL,Up,Down
2024-04-30,AAPL,Up,Down
2024-05-01,AAPL,Down,Up
2024-05-02,AAPL,Down,Up
2024-05-06,AAPL,Down,Up
2024-05-07,AAPL,Down,Up
2024-05-08,AAPL,Down,Up
2024-05-09,AAPL,Up,Down
2024-05-10,AAPL,Down,Up
2024-05-13,AAPL,Down,Up
2024-05-14,AAPL,Down,Up
2024-05-15,AAPL,Down,Up
2024-05-16,AAPL,Down,Up
2024-05-21,AAPL,Up,Down
2024-05-23,AAPL,Down,Up
2024-05-24,AAPL,Down,Up
2024-05-28,AAPL,Down,Up
2024-05-29,AAPL,Down,Up
2024-05-30,AAPL,Down,Up
2024-06-03,AAPL,Down,Up
2024-06-05,AAPL,Up,Down
2024-06-07,AAPL,Up,Down
2024-06-13,AAPL,Up,Down
2024-06-17,AAPL,Up,Down
2024-06-18,AAPL,Up,Down
2024-07-09,AAPL,Down,Up
2024-07-10,AAPL,Up,Down
2024-07-16,AAPL,Up,Down
2024-07-17,AAPL,Up,Down
2024-07-19,AAPL,Up,Down
2024-07-23,AAPL,Up,Down
2024-07-24,AAPL,Up,Down
2024-07-29,AAPL,Down,Up
2024-08-02,AAPL,Up,Down
2024-08-15,AAPL,Down,Up
2024-08-16,AAPL,Up,Down
2024-08-20,AAPL,Up,Down
2024-08-21,AAPL,Up,Down
2024-08-26,AAPL,Down,Up
2024-08-27,AAPL,Up,Down
2024-08-29,AAPL,Up,Down
2024-08-30,AAPL,Up,Down
2024-09-03,AAPL,Up,Down
2024-09-05,AAPL,Up,Down
2024-09-12,AAPL,Up,Down
2024-09-13,AAPL,Up,Down
2024-09-24,AAPL,Up,Down
2024-09-26,AAPL,Down,Up
2024-09-27,AAPL,Down,Up
2024-09-30,AAPL,Up,Down
2024-10-04,AAPL,Up,Down
2024-10-07,AAPL,Down,Up
2024-10-08,AAPL,Down,Up
2024-10-09,AAPL,Up,Down
2024-10-10,AAPL,Up,Down
2024-10-11,AAPL,Down,Up
2024-10-15,AAPL,Up,Down
2024-10-16,AAPL,Down,Up
2024-10-17,AAPL,Down,Up
2024-10-18,AAPL,Down,Up
2024-10-21,AAPL,Up,Down
2024-10-22,AAPL,Up,Down
2024-10-23,AAPL,Up,Down
2024-10-29,AAPL,Up,Down
2024-10-30,AAPL,Up,Down
2024-11-05,AAPL,Up,Down
2024-11-07,AAPL,Up,Down
2024-11-08,AAPL,Up,Down
2024-11-11,AAPL,Up,Down
2024-11-14,AAPL,Up,Down
2024-11-20,AAPL,Up,Down
2024-11-25,AAPL,Down,Up
2024-11-26,AAPL,Up,Down
2024-12-05,AAPL,Up,Down
2024-12-06,AAPL,Down,Up
2024-12-10,AAPL,Up,Down
2024-12-17,AAPL,Up,Down
2024-12-19,AAPL,Down,Up
2024-12-26,AAPL,Up,Down
2024-12-27,AAPL,Up,Down
2024-12-30,AAPL,Up,Down
2024-12-31,AAPL,Up,Down
2025-01-02,AAPL,Up,Down
2025-01-06,AAPL,Up,Down
2025-01-08,AAPL,Up,Down
2025-01-10,AAPL,Up,Down
2025-01-13,AAPL,Up,Down
2025-01-15,AAPL,Up,Down
2025-01-17,AAPL,Up,Down
2025-01-22,AAPL,Up,Down
2025-01-23,AAPL,Up,Down
2025-01-29,AAPL,Up,Down
2025-01-30,AAPL,Up,Down
2025-01-31,AAPL,Up,Down
2025-02-04,AAPL,Up,Down
2025-02-06,AAPL,Up,Down
2025-02-14,AAPL,Up,Down
2025-02-20,AAPL,Up,Down
2025-02-26,AAPL,Up,Down
2025-02-28,AAPL,Up,Down
2025-03-04,AAPL,Up,Down
2025-03-05,AAPL,Up,Down
2025-03-07,AAPL,Up,Down
2025-03-10,AAPL,Up,Down
2025-03-12,AAPL,Up,Down
2025-03-17,AAPL,Up,Down
2025-03-19,AAPL,Up,Down
2025-03-25,AAPL,Up,Down
2025-03-27,AAPL,Up,Down
2025-04-02,AAPL,Up,Down
2025-04-03,AAPL,Up,Down
2025-04-04,AAPL,Up,Down
2025-04-10,AAPL,Down,Up
2025-04-14,AAPL,Up,Down
2025-04-15,AAPL,Up,Down
2025-04-17,AAPL,Up,Down
2025-05-01,AAPL,Up,Down
2025-05-02,AAPL,Up,Down
2025-05-05,AAPL,Up,Down
2025-05-06,AAPL,Up,Down
2025-05-12,AAPL,Down,Up
2025-05-13,AAPL,Up,Down
2025-05-15,AAPL,Up,Down
2025-05-16,AAPL,Up,Down
2025-05-19,AAPL,Up,Down
2025-05-20,AAPL,Up,Down
2025-05-21,AAPL,Up,Down
2025-05-22,AAPL,Up,Down
2025-05-28,AAPL,Up,Down
2025-05-30,AAPL,Down,Up
2025-06-03,AAPL,Up,Down
2025-06-04,AAPL,Up,Down
2025-06-06,AAPL,Up,Down
2025-06-10,AAPL,Up,Down
2025-06-11,AAPL,Down,Up
2025-06-12,AAPL,Up,Down
2025-06-13,AAPL,Down,Up
2025-06-16,AAPL,Up,Down
2025-06-23,AAPL,Up,Down
2025-06-24,AAPL,Down,Up
2025-06-25,AAPL,Up,Down
2025-06-26,AAPL,Down,Up
2025-07-02,AAPL,Down,Up
2025-07-03,AAPL,Up,Down
