date,predLabel,probUp,trueLabel,trueRet
2022-03-01,Up,0.82,Up,0.020588
2022-03-02,Up,0.82,Down,-0.001981
2022-03-03,Up,0.82,Down,-0.018408
2022-03-04,Up,0.82,Down,-0.023718
2022-03-07,Up,0.82,Down,-0.011676
2022-03-08,Up,0.82,Up,0.034997
2022-03-09,Up,0.82,Down,-0.027186
2022-03-10,Up,0.7841,Down,-0.023909
2022-03-11,Down,0.31,Down,-0.026562
2022-03-14,Up,0.7828,Up,0.029677
2022-03-15,Up,0.82,Up,0.029015
2022-03-16,Up,0.82,Up,0.006454
2022-03-17,Up,0.82,Up,0.020919
2022-03-18,Up,0.82,Up,0.008538
2022-03-21,Up,0.82,Up,0.020801
2022-03-22,Up,0.82,Up,0.008234
2022-03-23,Up,0.82,Up,0.022678
2022-03-24,Up,0.82,Up,0.003734
2022-03-25,Up,0.82,Up,0.005037
2022-03-28,Up,0.82,Up,0.019134
2022-03-29,Up,0.82,Down,-0.006650
2022-03-30,Up,0.82,Down,-0.017776
2022-03-31,Up,0.82,Down,-0.001718
2022-04-01,Up,0.82,Up,0.023693
2022-04-04,Up,0.82,Down,-0.018942
2022-04-05,Up,0.82,Down,-0.018451
2022-04-06,Up,0.82,Up,0.001804
2022-04-07,Up,0.82,Down,-0.011909
2022-04-08,Up,0.82,Down,-0.025516
2022-04-11,Neutral,0.4593,Up,0.011523
2022-04-12,Up,0.82,Up,0.016343
2022-04-13,Up,0.82,Down,-0.029988
2022-04-14,Up,0.82,Down,-0.001331
2022-04-18,Up,0.82,Up,0.014115
2022-04-19,Up,0.82,Down,-0.001016
2022-04-20,Up,0.82,Down,-0.004844
2022-04-21,Up,0.82,Down,-0.027821
2022-04-22,Up,0.82,Up,0.006737
2022-04-25,Up,0.82,Down,-0.037328
2022-04-26,Neutral,0.533,Down,-0.001467
2022-04-27,Neutral,0.4178,Up,0.045155
2022-04-28,Up,0.82,Down,-0.036605
2022-04-29,Up,0.82,Up,0.001966
2022-05-02,Up,0.82,Up,0.009623
2022-05-03,Up,0.82,Up,0.041008
2022-05-04,Up,0.82,Down,-0.055716
2022-05-05,Up,0.82,Up,0.003253
2022-05-06,Up,0.82,Down,-0.033189
2022-05-09,Up,0.82,Up,0.016112
2022-05-10,Up,0.82,Down,-0.051841
2022-05-11,Down,0.2,Down,-0.026894
2022-05-12,Down,0.2484,Up,0.031916
2022-05-13,Neutral,0.572,Down,-0.010672
2022-05-16,Up,0.82,Up,0.025423
2022-05-17,Up,0.82,Down,-0.056419
2022-05-18,Up,0.82,Down,-0.024641
2022-05-19,Up,0.82,Up,0.001747
2022-05-20,Up,0.7232,Up,0.040119
2022-05-23,Up,0.82,Down,-0.019216
2022-05-24,Up,0.7986,Up,0.001140
2022-05-25,Up,0.82,Up,0.023200
2022-05-26,Up,0.82,Up,0.040757
2022-05-27,Up,0.82,Down,-0.005346
2022-05-31,Up,0.82,Down,-0.000873
2022-06-01,Up,0.82,Up,0.016811
2022-06-02,Up,0.82,Down,-0.038556
2022-06-03,Up,0.82,Up,0.005228
2022-06-06,Up,0.82,Up,0.017586
2022-06-07,Up,0.82,Down,-0.005043
2022-06-08,Up,0.82,Down,-0.035956
2022-06-09,Up,0.82,Down,-0.038629
2022-06-10,Up,0.82,Down,-0.038285
2022-06-13,Down,0.3229,Up,0.006673
2022-06-14,Down,0.2,Up,0.020111
2022-06-15,Up,0.7073,Down,-0.039651
2022-06-16,Neutral,0.5385,Up,0.011533
2022-06-17,Up,0.82,Up,0.032761
2022-06-21,Up,0.82,Down,-0.003827
2022-06-22,Up,0.82,Up,0.021574
2022-06-23,Up,0.82,Up,0.024517
2022-06-24,Up,0.82,Down,0.000000
2022-06-27,Up,0.82,Down,-0.029790
2022-06-28,Up,0.82,Up,0.013024
2022-06-29,Up,0.82,Down,-0.018028
2022-06-30,Up,0.82,Up,0.016164
2022-07-01,Up,0.82,Up,0.018930
2022-07-05,Up,0.82,Up,0.009607
2022-07-06,Up,0.82,Up,0.023999
2022-07-07,Up,0.82,Up,0.004715
2022-07-08,Up,0.82,Down,-0.014758
2022-07-11,Up,0.82,Up,0.006834
2022-07-12,Up,0.82,Down,-0.002537
2022-07-13,Up,0.82,Up,0.020482
2022-07-14,Up,0.82,Up,0.011450
2022-07-15,Up,0.82,Down,-0.020643
2022-07-18,Up,0.82,Up,0.026722
2022-07-19,Up,0.82,Up,0.013510
2022-07-20,Up,0.82,Up,0.015094
2022-07-21,Up,0.82,Down,-0.008111
2022-07-22,Up,0.82,Down,-0.007398
2022-07-25,Up,0.82,Down,-0.008826
2022-07-26,Up,0.82,Up,0.034235
2022-07-27,Up,0.82,Up,0.003572
2022-07-28,Up,0.82,Up,0.032793
2022-07-29,Up,0.82,Down,-0.006153
2022-08-01,Up,0.82,Down,-0.009287
2022-08-02,Up,0.82,Up,0.038248
2022-08-03,Up,0.82,Down,-0.001926
2022-08-04,Up,0.82,Down,-0.002774
2022-08-05,Up,0.82,Down,-0.002903
2022-08-08,Up,0.82,Up,0.000303
2022-08-09,Up,0.82,Up,0.026195
2022-08-10,Up,0.82,Down,-0.004432
2022-08-11,Up,0.82,Up,0.021426
2022-08-12,Up,0.82,Up,0.006334
2022-08-15,Up,0.82,Down,-0.000924
2022-08-16,Up,0.82,Up,0.008785
2022-08-17,Up,0.82,Down,-0.002292
2022-08-18,Up,0.82,Down,-0.015102
