date,predLabel,probUp,trueLabel,trueRet
2022-03-01,Up,0.82,Up,0.017766
2022-03-02,Up,0.82,Down,-0.014224
2022-03-03,Up,0.82,Down,-0.020479
2022-03-04,Up,0.82,Down,-0.037777
2022-03-07,Down,0.274,Down,-0.010971
2022-03-08,Up,0.67,Up,0.045858
2022-03-09,Up,0.82,Down,-0.010087
2022-03-10,Up,0.82,Down,-0.019328
2022-03-11,Up,0.82,Down,-0.012961
2022-03-14,Up,0.82,Up,0.038743
2022-03-15,Up,0.82,Up,0.025213
2022-03-16,Up,0.82,Up,0.002819
2022-03-17,Up,0.82,Up,0.017648
2022-03-18,Up,0.82,Down,-0.004227
2022-03-21,Up,0.82,Up,0.016379
2022-03-22,Up,0.82,Down,-0.015030
2022-03-23,Up,0.82,Up,0.015393
2022-03-24,Up,0.82,Down,-0.001381
2022-03-25,Up,0.82,Up,0.023117
2022-03-28,Up,0.82,Up,0.015159
2022-03-29,Up,0.82,Down,-0.004914
2022-03-30,Up,0.82,Down,-0.017683
2022-03-31,Up,0.82,Up,0.003600
2022-04-01,Up,0.82,Up,0.017937
2022-04-04,Up,0.82,Down,-0.012985
2022-04-05,Up,0.82,Down,-0.036606
2022-04-06,Up,0.82,Up,0.006244
2022-04-07,Up,0.82,Down,-0.014600
2022-04-08,Up,0.82,Down,-0.039432
2022-04-11,Up,0.6101,Down,-0.011218
2022-04-12,Down,0.2883,Up,0.019712
2022-04-13,Up,0.82,Down,-0.027084
2022-04-14,Up,0.82,Up,0.002466
2022-04-18,Up,0.7721,Up,0.017040
2022-04-19,Up,0.82,Up,0.003715
2022-04-20,Up,0.82,Down,-0.019381
2022-04-21,Up,0.82,Down,-0.024144
2022-04-22,Up,0.82,Up,0.024413
2022-04-25,Up,0.82,Down,-0.037404
2022-04-26,Up,0.82,Up,0.048109
2022-04-27,Up,0.82,Up,0.022633
2022-04-28,Up,0.82,Down,-0.041812
2022-04-29,Up,0.82,Up,0.025043
2022-05-02,Up,0.82,Down,-0.009456
2022-05-03,Up,0.82,Up,0.029101
2022-05-04,Up,0.82,Down,-0.043555
2022-05-05,Up,0.82,Down,-0.009447
2022-05-06,Up,0.82,Down,-0.036945
2022-05-09,Up,0.8187,Up,0.018596
2022-05-10,Up,0.82,Down,-0.033210
2022-05-11,Down,0.416,Down,-0.019958
2022-05-12,Neutral,0.5257,Up,0.022596
2022-05-13,Up,0.8089,Up,0.001455
2022-05-16,Up,0.82,Up,0.020344
2022-05-17,Up,0.82,Down,-0.047748
2022-05-18,Up,0.82,Down,-0.003700
2022-05-19,Up,0.82,Down,-0.002291
2022-05-20,Up,0.82,Up,0.032032
2022-05-23,Up,0.82,Down,-0.003952
2022-05-24,Up,0.82,Up,0.011170
2022-05-25,Up,0.82,Up,0.012875
2022-05-26,Up,0.82,Up,0.027604
2022-05-27,Up,0.82,Down,-0.005014
2022-05-31,Up,0.82,Up,0.002023
2022-06-01,Up,0.82,Up,0.007929
2022-06-02,Up,0.82,Down,-0.016607
2022-06-03,Up,0.82,Down,-0.004703
2022-06-06,Up,0.82,Up,0.013953
2022-06-07,Up,0.82,Down,-0.007670
2022-06-08,Up,0.82,Down,-0.020783
2022-06-09,Up,0.82,Down,-0.044564
2022-06-10,Up,0.82,Down,-0.042413
2022-06-13,Neutral,0.502,Up,0.009205
2022-06-14,Down,0.2,Up,0.029735
2022-06-15,Up,0.82,Down,-0.026970
2022-06-16,Up,0.7048,Up,0.010940
2022-06-17,Up,0.82,Up,0.024591
2022-06-21,Up,0.82,Down,-0.002404
2022-06-22,Up,0.82,Up,0.022637
2022-06-23,Up,0.82,Up,0.034150
2022-06-24,Up,0.82,Down,-0.010497
2022-06-27,Up,0.82,Down,-0.031749
2022-06-28,Up,0.82,Up,0.014738
2022-06-29,Up,0.82,Down,-0.013179
2022-06-30,Up,0.82,Up,0.010707
2022-07-01,Up,0.82,Up,0.012597
2022-07-05,Up,0.82,Up,0.012783
2022-07-06,Up,0.82,Up,0.008227
2022-07-07,Up,0.82,Down,-0.002757
2022-07-08,Up,0.82,Down,-0.011769
2022-07-11,Up,0.82,Down,-0.040981
2022-07-12,Up,0.82,Down,-0.003745
2022-07-13,Up,0.82,Up,0.005381
2022-07-14,Up,0.82,Up,0.010390
2022-07-15,Up,0.82,Down,-0.009621
2022-07-18,Up,0.82,Up,0.020767
2022-07-19,Up,0.82,Up,0.010558
2022-07-20,Up,0.82,Up,0.009799
2022-07-21,Up,0.82,Down,-0.016916
2022-07-22,Up,0.82,Down,-0.005876
2022-07-25,Up,0.82,Down,-0.026774
2022-07-26,Up,0.82,Up,0.066852
2022-07-27,Up,0.82,Up,0.028541
2022-07-28,Up,0.82,Up,0.015665
2022-07-29,Up,0.82,Down,-0.009724
2022-08-01,Up,0.82,Down,-0.011474
2022-08-02,Up,0.82,Up,0.027836
2022-08-03,Up,0.82,Up,0.004177
2022-08-04,Up,0.82,Down,-0.002609
2022-08-05,Up,0.82,Down,-0.009155
2022-08-08,Up,0.82,Up,0.007063
2022-08-09,Up,0.82,Up,0.024300
2022-08-10,Up,0.82,Down,-0.007401
2022-08-11,Up,0.82,Up,0.017037
2022-08-12,Up,0.82,Up,0.005344
2022-08-15,Up,0.82,Down,-0.002590
2022-08-16,Up,0.82,Down,-0.004749
2022-08-17,Up,0.82,Down,-0.003948
2022-08-18,Up,0.82,Down,-0.013854
2022-08-19,Up,0.82,Down,-0.029355
2022-08-22,Up,0.82,Down,-0.004716
2022-08-23,Up,0.82,Down,-0.002351
2022-08-24,Up,0.82,Up,0.011095
2022-08-25,Up,0.82,Down,-0.038587
2022-08-26,Up,0.82,Down,-0.010668
2022-08-29,Up,0.7975,Down,-0.008521
2022-08-30,Up,0.82,Down,-0.005704
2022-08-31,Up,0.82,Down,-0.004092
2022-09-01,Up,0.7073,Down,-0.016667
2022-09-02,Up,0.82,Down,-0.010974
2022-09-06,Up,0.82,Up,0.019112
2022-09-07,Up,0.82,Up,0.001666
2022-09-08,Up,0.82,Up,0.022977
2022-09-09,Up,0.82,Up,0.008281
2022-09-12,Up,0.82,Down,-0.054978
2022-09-13,Up,0.82,Up,0.000913
2022-09-14,Up,0.82,Down,-0.027119
2022-09-15,Up,0.82,Down,-0.002608
2022-09-16,Up,0.82,Down,-0.000899
2022-09-19,Up,0.6142,Down,-0.008466
2022-09-20,Up,0.82,Down,-0.014436
2022-09-21,Up,0.82,Up,0.008495
2022-09-22,Up,0.82,Down,-0.012698
2022-09-23,Up,0.82,Down,-0.001975
2022-09-26,Up,0.82,Down,-0.004380
2022-09-27,Up,0.82,Up,0.019712
2022-09-28,Up,0.82,Down,-0.014809
2022-09-29,Up,0.82,Down,-0.019368
2022-09-30,Up,0.82,Up,0.033663
2022-10-03,Up,0.82,Up,0.033812
2022-10-04,Up,0.82,Up,0.001286
2022-10-05,Up,0.82,Down,-0.009671
2022-10-06,Up,0.82,Down,-0.050853
2022-10-07,Up,0.82,Down,-0.021303
2022-10-10,Up,0.82,Down,-0.016750
2022-10-11,Up,0.6114,Up,0.001508
2022-10-12,Neutral,0.47,Up,0.037608
2022-10-13,Up,0.82,Down,-0.024249
2022-10-14,Up,0.82,Up,0.039246
2022-10-17,Up,0.82,Up,0.004084
2022-10-18,Up,0.82,Down,-0.008470
2022-10-19,Up,0.82,Down,-0.001395
2022-10-20,Up,0.82,Up,0.025281
2022-10-21,Up,0.82,Up,0.021188
2022-10-24,Up,0.82,Up,0.013792
2022-10-25,Up,0.82,Down,-0.077156
2022-10-26,Up,0.82,Down,-0.019756
2022-10-27,Up,0.82,Up,0.040220
2022-10-28,Up,0.82,Down,-0.015856
2022-10-31,Up,0.82,Down,-0.017059
2022-11-01,Up,0.751,Down,-0.035368
2022-11-02,Up,0.82,Down,-0.026579
2022-11-03,Up,0.82,Up,0.033326
2022-11-04,Up,0.82,Up,0.029270
2022-11-07,Up,0.82,Up,0.004388
2022-11-08,Up,0.82,Down,-0.019050
2022-11-09,Up,0.82,Up,0.082268
2022-11-10,Up,0.82,Up,0.016997
2022-11-11,Up,0.82,Down,-0.022500
2022-11-14,Up,0.82,Up,0.001739
2022-11-15,Up,0.82,Down,-0.000992
2022-11-16,Up,0.82,Down,-0.000207
2022-11-17,Up,0.82,Down,-0.001903
2022-11-18,Up,0.82,Up,0.003441
2022-11-21,Up,0.82,Up,0.012311
2022-11-22,Up,0.82,Up,0.010407
2022-11-23,Up,0.82,Down,-0.000364
2022-11-25,Up,0.82,Down,-0.023152
2022-11-28,Up,0.82,Down,-0.005915
2022-11-29,Up,0.82,Up,0.061624
2022-11-30,Up,0.82,Down,-0.001764
2022-12-01,Up,0.82,Up,0.001296
2022-12-02,Up,0.82,Down,-0.018901
2022-12-05,Up,0.82,Down,-0.020304
2022-12-06,Up,0.82,Down,-0.003060
2022-12-07,Up,0.82,Up,0.012399
2022-12-08,Up,0.82,Down,-0.008003
2022-12-09,Up,0.82,Up,0.028889
2022-12-12,Up,0.82,Up,0.017465
2022-12-13,Up,0.82,Up,0.001168
2022-12-14,Up,0.82,Down,-0.031918
2022-12-15,Up,0.82,Down,-0.017349
2022-12-16,Up,0.82,Down,-0.017328
2022-12-19,Up,0.8132,Up,0.005614
2022-12-20,Up,0.82,Up,0.010877
2022-12-21,Up,0.82,Down,-0.025529
2022-12-22,Up,0.82,Up,0.002267
2022-12-23,Up,0.82,Down,-0.007414
2022-12-27,Up,0.82,Down,-0.010255
2022-12-28,Up,0.82,Up,0.027630
2022-12-29,Up,0.82,Down,-0.004938
2022-12-30,Up,0.82,Down,-0.001001
2023-01-03,Up,0.82,Down,-0.043743
2023-01-04,Up,0.82,Down,-0.029638
2023-01-05,Up,0.82,Up,0.011785
2023-01-06,Up,0.82,Up,0.009736
2023-01-09,Up,0.82,Up,0.007617
2023-01-10,Up,0.82,Up,0.030238
2023-01-11,Up,0.82,Up,0.011621
2023-01-12,Up,0.82,Up,0.003019
2023-01-13,Up,0.82,Up,0.004682
2023-01-17,Up,0.82,Down,-0.018889
2023-01-18,Up,0.82,Down,-0.016454
2023-01-19,Up,0.82,Up,0.035744
2023-01-20,Up,0.82,Up,0.009824
2023-01-23,Up,0.82,Down,-0.002226
2023-01-24,Up,0.82,Down,-0.005908
2023-01-25,Up,0.82,Up,0.030714
2023-01-26,Up,0.82,Up,0.000645
2023-01-27,Up,0.82,Down,-0.021962
2023-01-30,Up,0.82,Up,0.021013
2023-01-31,Up,0.82,Up,0.019935
2023-02-01,Up,0.82,Up,0.046884
2023-02-02,Up,0.82,Down,-0.023621
2023-02-03,Up,0.82,Down,-0.006116
2023-02-06,Up,0.82,Up,0.042022
2023-02-07,Up,0.82,Down,-0.003102
2023-02-08,Up,0.82,Down,-0.011660
2023-02-09,Up,0.82,Down,-0.001972
2023-02-10,Up,0.82,Up,0.031243
2023-02-13,Up,0.82,Up,0.003133
2023-02-14,Up,0.82,Down,-0.010471
2023-02-15,Up,0.82,Down,-0.026623
