date,predLabel,probUp,trueLabel,trueRet
2022-03-01,Up,0.82,Up,0.031648
2022-03-02,Up,0.82,Down,-0.020892
2022-03-03,Up,0.82,Down,-0.032808
2022-03-04,Up,0.82,Down,-0.069062
2022-03-07,Down,0.2445,Up,0.007587
2022-03-08,Up,0.82,Up,0.069722
2022-03-09,Up,0.82,Down,-0.015469
2022-03-10,Up,0.82,Down,-0.024627
2022-03-11,Up,0.82,Down,-0.034842
2022-03-14,Up,0.82,Up,0.077028
2022-03-15,Up,0.82,Up,0.066295
2022-03-16,Up,0.82,Up,0.011022
2022-03-17,Up,0.82,Up,0.068118
2022-03-18,Up,0.82,Up,0.010623
2022-03-21,Up,0.82,Down,-0.007855
2022-03-22,Up,0.82,Down,-0.033554
2022-03-23,Up,0.82,Up,0.098151
2022-03-24,Up,0.82,Down,-0.016270
2022-03-25,Up,0.82,Up,0.019031
2022-03-28,Up,0.82,Up,0.015486
2022-03-29,Up,0.82,Down,-0.033710
2022-03-30,Up,0.82,Down,-0.014590
2022-03-31,Up,0.82,Down,-0.021036
2022-04-01,Up,0.82,Up,0.024259
2022-04-04,Up,0.82,Down,-0.052230
2022-04-05,Up,0.82,Down,-0.058771
2022-04-06,Up,0.82,Down,-0.008153
2022-04-07,Neutral,0.5685,Down,-0.044985
2022-04-08,Neutral,0.5549,Down,-0.051992
2022-04-11,Down,0.2687,Down,-0.018844
2022-04-12,Neutral,0.5107,Up,0.032506
2022-04-13,Up,0.7765,Down,-0.042562
2022-04-14,Up,0.82,Up,0.024697
2022-04-18,Up,0.82,Up,0.019052
2022-04-19,Up,0.82,Down,-0.032255
2022-04-20,Up,0.82,Down,-0.060469
2022-04-21,Up,0.82,Down,-0.033097
2022-04-22,Up,0.82,Up,0.019831
2022-04-25,Up,0.82,Down,-0.055974
2022-04-26,Up,0.82,Down,-0.019853
2022-04-27,Up,0.7455,Up,0.074233
2022-04-28,Up,0.82,Down,-0.062430
2022-04-29,Up,0.82,Up,0.053162
2022-05-02,Up,0.82,Up,0.003532
2022-05-03,Up,0.82,Up,0.037343
2022-05-04,Up,0.82,Down,-0.073276
2022-05-05,Up,0.82,Down,-0.008968
2022-05-06,Up,0.82,Down,-0.092369
2022-05-09,Up,0.82,Up,0.038053
2022-05-10,Up,0.82,Down,-0.054845
2022-05-11,Up,0.6612,Down,-0.027360
2022-05-12,Up,0.82,Up,0.094652
2022-05-13,Up,0.82,Down,-0.024963
2022-05-16,Up,0.82,Up,0.052885
2022-05-17,Up,0.82,Down,-0.068163
2022-05-18,Up,0.82,Up,0.010981
2022-05-19,Up,0.82,Down,-0.025111
2022-05-20,Up,0.82,Up,0.012220
2022-05-23,Up,0.82,Down,-0.044029
2022-05-24,Up,0.82,Up,0.050823
2022-05-25,Up,0.82,Up,0.051605
2022-05-26,Up,0.82,Up,0.053779
2022-05-27,Up,0.82,Down,-0.007389
2022-05-31,Up,0.82,Down,-0.018852
2022-06-01,Up,0.82,Up,0.069432
2022-06-02,Up,0.82,Down,-0.044508
2022-06-03,Up,0.82,Up,0.003526
2022-06-06,Up,0.82,Up,0.007452
2022-06-07,Up,0.82,Down,-0.014689
2022-06-08,Up,0.82,Down,-0.032175
2022-06-09,Up,0.82,Down,-0.059508
2022-06-10,Up,0.82,Down,-0.078178
2022-06-13,Up,0.761,Up,0.012079
2022-06-14,Up,0.6649,Up,0.043635
2022-06-15,Up,0.82,Down,-0.056030
2022-06-16,Up,0.82,Up,0.017883
2022-06-17,Up,0.82,Up,0.043199
2022-06-21,Up,0.82,Down,-0.012435
2022-06-22,Up,0.82,Down,-0.008252
2022-06-23,Up,0.82,Up,0.055532
2022-06-24,Up,0.82,Down,-0.015006
2022-06-27,Up,0.82,Down,-0.052582
2022-06-28,Up,0.82,Down,-0.027531
2022-06-29,Up,0.82,Down,-0.024643
2022-06-30,Up,0.82,Down,-0.041955
2022-07-01,Up,0.7027,Up,0.030366
2022-07-05,Up,0.82,Up,0.011093
2022-07-06,Up,0.82,Up,0.048116
2022-07-07,Up,0.82,Down,-0.001261
2022-07-08,Up,0.82,Down,-0.043314
2022-07-11,Up,0.82,Down,-0.004620
2022-07-12,Up,0.82,Up,0.005437
2022-07-13,Up,0.82,Up,0.013717
2022-07-14,Up,0.82,Up,0.025371
2022-07-15,Up,0.82,Up,0.021507
2022-07-18,Up,0.82,Up,0.055338
2022-07-19,Up,0.82,Up,0.047964
2022-07-20,Up,0.82,Up,0.013646
2022-07-21,Up,0.82,Down,-0.040499
2022-07-22,Up,0.82,Down,-0.017033
2022-07-25,Up,0.82,Down,-0.028842
2022-07-26,Up,0.82,Up,0.076030
2022-07-27,Up,0.82,Up,0.010905
2022-07-28,Up,0.82,Up,0.009953
2022-07-29,Up,0.82,Up,0.015306
2022-08-01,Up,0.82,Up,0.004609
2022-08-02,Up,0.82,Up,0.019810
2022-08-03,Up,0.82,Up,0.017043
2022-08-04,Up,0.82,Down,-0.011762
2022-08-05,Up,0.82,Down,-0.062984
2022-08-08,Up,0.82,Down,-0.039735
2022-08-09,Up,0.82,Up,0.059171
2022-08-10,Up,0.82,Down,-0.008565
2022-08-11,Up,0.82,Up,0.042749
2022-08-12,Up,0.82,Up,0.017264
2022-08-15,Up,0.82,Down,-0.008039
2022-08-16,Up,0.82,Down,-0.028815
2022-08-17,Up,0.82,Up,0.023889
2022-08-18,Up,0.82,Down,-0.049220
2022-08-19,Up,0.82,Down,-0.045661
2022-08-22,Up,0.82,Up,0.008630
2022-08-23,Up,0.82,Up,0.002386
2022-08-24,Up,0.82,Up,0.040123
2022-08-25,Up,0.82,Down,-0.092279
2022-08-26,Up,0.82,Down,-0.028229
2022-08-29,Up,0.82,Down,-0.021075
2022-08-30,Up,0.82,Down,-0.024179
2022-08-31,Up,0.82,Down,-0.076653
2022-09-01,Neutral,0.5739,Down,-0.020808
2022-09-02,Down,0.3541,Down,-0.013336
2022-09-06,Neutral,0.5477,Up,0.018492
2022-09-07,Up,0.82,Up,0.020125
2022-09-08,Up,0.82,Up,0.028377
2022-09-09,Up,0.82,Up,0.008202
2022-09-12,Up,0.82,Down,-0.094726
2022-09-13,Up,0.82,Down,-0.000228
2022-09-14,Up,0.82,Down,-0.015158
2022-09-15,Up,0.82,Up,0.020806
2022-09-16,Up,0.82,Up,0.013942
2022-09-19,Up,0.82,Down,-0.015394
2022-09-20,Up,0.82,Up,0.006451
2022-09-21,Up,0.82,Down,-0.052786
2022-09-22,Up,0.82,Down,-0.003583
2022-09-23,Up,0.82,Down,-0.023011
2022-09-26,Up,0.82,Up,0.015129
2022-09-27,Up,0.82,Up,0.026021
2022-09-28,Up,0.82,Down,-0.040515
2022-09-29,Up,0.82,Down,-0.006629
2022-09-30,Up,0.82,Up,0.030727
2022-10-03,Up,0.82,Up,0.052350
2022-10-04,Up,0.82,Up,0.003190
2022-10-05,Up,0.82,Down,-0.005981
2022-10-06,Up,0.82,Down,-0.080274
2022-10-07,Up,0.82,Down,-0.033620
2022-10-10,Up,0.82,Down,-0.007198
2022-10-11,Up,0.82,Down,-0.007423
2022-10-12,Up,0.7124,Up,0.040000
2022-10-13,Up,0.82,Down,-0.061288
2022-10-14,Up,0.82,Up,0.058876
2022-10-17,Up,0.82,Up,0.006645
2022-10-18,Up,0.82,Up,0.007019
2022-10-19,Up,0.82,Up,0.011866
2022-10-20,Up,0.82,Up,0.022306
2022-10-21,Up,0.82,Up,0.010669
2022-10-24,Up,0.82,Up,0.052544
2022-10-25,Up,0.82,Down,-0.027524
2022-10-26,Up,0.82,Up,0.021712
2022-10-27,Up,0.82,Up,0.049939
2022-10-28,Up,0.82,Down,-0.024360
2022-10-31,Up,0.82,Up,0.003408
2022-11-01,Up,0.82,Down,-0.023924
2022-11-02,Up,0.82,Up,0.015281
2022-11-03,Up,0.82,Up,0.054765
2022-11-04,Up,0.82,Up,0.010243
2022-11-07,Up,0.82,Up,0.021048
2022-11-08,Up,0.82,Down,-0.056568
2022-11-09,Up,0.82,Up,0.143293
2022-11-10,Up,0.82,Up,0.036635
2022-11-11,Up,0.82,Down,-0.001960
2022-11-14,Up,0.82,Up,0.022768
2022-11-15,Up,0.82,Down,-0.045362
2022-11-16,Up,0.82,Down,-0.014645
2022-11-17,Up,0.82,Down,-0.017095
2022-11-18,Up,0.82,Down,-0.005971
2022-11-21,Up,0.82,Up,0.047072
2022-11-22,Up,0.82,Up,0.029991
2022-11-23,Up,0.82,Down,-0.015073
2022-11-25,Up,0.82,Down,-0.027228
2022-11-28,Up,0.82,Down,-0.011878
2022-11-29,Up,0.82,Up,0.082102
2022-11-30,Up,0.82,Up,0.012527
2022-12-01,Up,0.82,Down,-0.015115
2022-12-02,Up,0.82,Down,-0.015762
2022-12-05,Up,0.82,Down,-0.037508
2022-12-06,Up,0.82,Up,0.008319
2022-12-07,Up,0.82,Up,0.065074
2022-12-08,Up,0.82,Down,-0.009785
2022-12-09,Up,0.82,Up,0.031410
2022-12-12,Up,0.82,Up,0.030625
2022-12-13,Up,0.82,Down,-0.022023
2022-12-14,Up,0.82,Down,-0.040851
2022-12-15,Up,0.82,Down,-0.022475
2022-12-16,Up,0.82,Down,-0.019130
2022-12-19,Up,0.82,Down,-0.010397
2022-12-20,Up,0.82,Up,0.025863
2022-12-21,Up,0.82,Down,-0.070420
2022-12-22,Up,0.82,Down,-0.008671
2022-12-23,Up,0.8084,Down,-0.071353
2022-12-27,Up,0.8179,Down,-0.006019
2022-12-28,Neutral,0.5754,Up,0.040396
2022-12-29,Up,0.82,Up,0.000753
2022-12-30,Up,0.82,Down,-0.020460
2023-01-03,Up,0.82,Up,0.030318
2023-01-04,Up,0.82,Down,-0.032816
2023-01-05,Up,0.82,Up,0.041640
2023-01-06,Up,0.82,Up,0.051753
2023-01-09,Up,0.82,Up,0.017981
2023-01-10,Up,0.82,Up,0.005783
2023-01-11,Up,0.82,Up,0.031873
2023-01-12,Up,0.82,Up,0.023500
2023-01-13,Up,0.82,Up,0.047518
2023-01-17,Up,0.82,Down,-0.018359
2023-01-18,Up,0.82,Down,-0.035219
2023-01-19,Up,0.82,Up,0.064062
2023-01-20,Up,0.82,Up,0.075901
2023-01-23,Up,0.82,Up,0.003751
2023-01-24,Up,0.82,Up,0.003011
2023-01-25,Up,0.82,Up,0.024789
2023-01-26,Up,0.82,Up,0.028431
2023-01-27,Up,0.82,Down,-0.059072
2023-01-30,Up,0.82,Up,0.019570
2023-01-31,Up,0.82,Up,0.071966
2023-02-01,Up,0.82,Up,0.036575
2023-02-02,Up,0.82,Down,-0.028053
2023-02-03,Up,0.82,Down,-0.000521
2023-02-06,Up,0.82,Up,0.051401
2023-02-07,Up,0.82,Up,0.001443
2023-02-08,Up,0.82,Up,0.005945
2023-02-09,Up,0.82,Down,-0.047992
2023-02-10,Up,0.82,Up,0.024594
2023-02-13,Up,0.82,Up,0.054296
2023-02-14,Up,0.82,Down,-0.009011
2023-02-15,Up,0.82,Down,-0.033474
2023-02-16,Up,0.82,Down,-0.027907
2023-02-17,Up,0.82,Down,-0.034272
2023-02-21,Up,0.82,Up,0.004793
2023-02-22,Up,0.82,Up,0.140214
2023-02-23,Up,0.82,Down,-0.015974
2023-02-24,Up,0.82,Up,0.009233
2023-02-27,Up,0.82,Down,-0.012127
2023-02-28,Up,0.82,Down,-0.022312
2023-03-01,Up,0.82,Up,0.027139
2023-03-02,Up,0.82,Up,0.024706
2023-03-03,Up,0.82,Down,-0.014064
2023-03-06,Up,0.82,Down,-0.011293
2023-03-07,Up,0.82,Up,0.038346
2023-03-08,Up,0.82,Down,-0.030809
2023-03-09,Up,0.82,Down,-0.020097
2023-03-10,Up,0.82,Up,0.000044
2023-03-13,Up,0.82,Up,0.047766
2023-03-14,Up,0.82,Up,0.006857
2023-03-15,Up,0.82,Up,0.054193
2023-03-16,Up,0.82,Up,0.007204
2023-03-17,Up,0.82,Up,0.006803
2023-03-20,Up,0.82,Up,0.011544
2023-03-21,Up,0.82,Up,0.010268
2023-03-22,Up,0.82,Up,0.027316
2023-03-23,Up,0.82,Down,-0.015152
2023-03-24,Up,0.82,Down,-0.009261
2023-03-27,Up,0.82,Down,-0.004561
2023-03-28,Up,0.82,Up,0.021734
2023-03-29,Up,0.82,Up,0.014787
2023-03-30,Up,0.82,Up,0.014389
2023-03-31,Up,0.82,Up,0.006768
2023-04-03,Up,0.82,Down,-0.018309
2023-04-04,Up,0.82,Down,-0.020836
2023-04-05,Up,0.82,Up,0.005803
2023-04-06,Up,0.82,Up,0.020047
2023-04-10,Up,0.82,Down,-0.014866
2023-04-11,Up,0.82,Down,-0.024808
2023-04-12,Up,0.82,Down,-0.001208
2023-04-13,Up,0.82,Up,0.011148
2023-04-14,Up,0.82,Up,0.009119
2023-04-17,Up,0.82,Up,0.024628
2023-04-18,Up,0.82,Up,0.009542
2023-04-19,Up,0.82,Down,-0.029609
2023-04-20,Up,0.82,Up,0.000553
2023-04-21,Up,0.82,Down,-0.002839
2023-04-24,Up,0.82,Down,-0.029621
2023-04-25,Up,0.82,Up,0.027247
2023-04-26,Up,0.82,Up,0.010016
2023-04-27,Up,0.82,Up,0.019210
2023-04-28,Up,0.82,Up,0.041839
2023-05-01,Up,0.82,Down,-0.024213
2023-05-02,Up,0.82,Down,-0.014463
2023-05-03,Up,0.82,Down,-0.008632
2023-05-04,Up,0.82,Up,0.040563
2023-05-05,Up,0.82,Up,0.016423
2023-05-08,Up,0.82,Down,-0.019896
2023-05-09,Up,0.82,Up,0.010990
2023-05-10,Up,0.82,Down,-0.010628
2023-05-11,Up,0.82,Down,-0.008328
2023-05-12,Up,0.82,Up,0.021630
2023-05-15,Up,0.82,Up,0.008980
2023-05-16,Up,0.82,Up,0.033033
2023-05-17,Up,0.82,Up,0.049705
2023-05-18,Up,0.82,Down,-0.013069
2023-05-19,Up,0.82,Down,-0.002815
2023-05-22,Up,0.82,Down,-0.015653
2023-05-23,Up,0.82,Down,-0.004888
2023-05-24,Up,0.82,Up,0.243696
2023-05-25,Up,0.82,Up,0.025434
2023-05-26,Up,0.82,Up,0.029913
2023-05-30,Up,0.82,Down,-0.056767
2023-05-31,Up,0.82,Up,0.051171
2023-06-01,Up,0.82,Down,-0.011139
2023-06-02,Up,0.82,Down,-0.003967
2023-06-05,Up,0.82,Down,-0.013199
2023-06-06,Up,0.82,Down,-0.030501
2023-06-07,Up,0.82,Up,0.027618
2023-06-08,Up,0.82,Up,0.006752
2023-06-09,Up,0.82,Up,0.018365
2023-06-12,Up,0.82,Up,0.039005
2023-06-13,Up,0.82,Up,0.048145
2023-06-14,Up,0.82,Down,-0.008001
2023-06-15,Up,0.82,Up,0.000914
2023-06-16,Up,0.82,Up,0.026141
2023-06-20,Up,0.82,Down,-0.017417
2023-06-21,Up,0.82,Down,-0.000465
2023-06-22,Up,0.82,Down,-0.018966
2023-06-23,Up,0.82,Down,-0.037362
2023-06-26,Up,0.82,Up,0.030616
2023-06-27,Up,0.82,Down,-0.018125
2023-06-28,Up,0.82,Down,-0.007175
2023-06-29,Up,0.82,Up,0.036255
2023-06-30,Up,0.82,Up,0.002624
2023-07-03,Up,0.82,Down,-0.002263
2023-07-05,Up,0.82,Down,-0.005057
2023-07-06,Up,0.82,Up,0.009500
2023-07-07,Up,0.82,Down,-0.007599
2023-07-10,Up,0.82,Up,0.005334
2023-07-11,Up,0.82,Up,0.035302
2023-07-12,Up,0.82,Up,0.047264
2023-07-13,Up,0.82,Down,-0.011049
