symbol,date,pUp,magnitudePct,predictedDirection,actualDirection,hit,retNextDayPct,atrPct
AAPL,2024-01-02,0.0637,4.16,Down,Down,1,-0.749,1.75
AAPL,2024-01-03,0.0749,2.797,Down,Down,1,-1.27,1.7
AAPL,2024-01-04,0.051,3.522,Down,Down,1,-0.401,1.74
AAPL,2024-01-05,0.0565,2.885,Down,Up,0,2.417,1.71
AAPL,2024-01-08,0.2134,2.718,Down,Down,1,-0.226,1.76
AAPL,2024-01-09,0.1832,2.672,Down,Up,0,0.567,1.73
AAPL,2024-01-10,0.2907,2.331,Down,Down,1,-0.322,1.67
AAPL,2024-01-11,0.3377,2.261,Down,Up,0,0.178,1.7
AAPL,2024-01-12,0.3802,2.356,Down,Down,1,-1.232,1.58
AAPL,2024-01-16,0.1491,3.01,Down,Down,1,-0.517,1.75
AAPL,2024-01-17,0.1367,2.665,Down,Up,0,3.257,1.77
AAPL,2024-01-18,0.7377,3.574,Up,Up,1,1.553,1.94
AAPL,2024-01-19,0.7816,2.797,Up,Up,1,1.216,1.89
AAPL,2024-01-22,0.8497,2.702,Up,Up,1,0.665,1.88
AAPL,2024-01-23,0.8924,3.005,Up,Down,0,-0.348,1.75
AAPL,2024-01-24,0.8786,2.45,Up,Down,0,-0.17,1.66
AAPL,2024-01-25,0.8315,2.246,Up,Down,0,-0.901,1.66
AAPL,2024-01-26,0.6787,2.115,Up,Down,0,-0.359,1.64
AAPL,2024-01-29,0.589,2.102,Up,Down,0,-1.925,1.63
AAPL,2024-01-30,0.3241,2.328,Down,Down,1,-1.936,1.75
AAPL,2024-01-31,0.1759,2.553,Down,Up,0,1.334,1.81
AAPL,2024-02-01,0.3176,2.573,Down,Down,1,-0.541,1.77
AAPL,2024-02-02,0.1396,5.723,Down,Up,0,0.985,2.12
AAPL,2024-02-05,0.5084,3.358,Up,Up,1,0.863,2.06
AAPL,2024-02-06,0.4816,2.541,Down,Up,0,0.058,1.95
AAPL,2024-02-07,0.6461,2.415,Up,Down,0,-0.575,1.86
AAPL,2024-02-08,0.4682,2.21,Down,Up,0,0.281,1.78
AAPL,2024-02-09,0.5429,2.096,Up,Down,0,-0.9,1.68
AAPL,2024-02-12,0.3711,2.014,Down,Down,1,-1.127,1.61
AAPL,2024-02-13,0.2301,2.255,Down,Down,1,-0.481,1.68
AAPL,2024-02-14,0.2278,2.091,Down,Down,1,-0.157,1.68
AAPL,2024-02-15,0.2172,2.406,Down,Down,1,-0.843,1.69
AAPL,2024-02-16,0.1437,2.31,Down,Down,1,-0.411,1.71
AAPL,2024-02-20,0.1397,2.154,Down,Up,0,0.419,1.67
AAPL,2024-02-21,0.1998,2.221,Down,Up,0,1.124,1.6
AAPL,2024-02-22,0.3996,1.912,Down,Down,1,-1.003,1.56
AAPL,2024-02-23,0.2661,2.052,Down,Down,1,-0.745,1.57
AAPL,2024-02-26,0.1939,2.039,Down,Up,0,0.811,1.53
AAPL,2024-02-27,0.3149,1.765,Down,Down,1,-0.663,1.63
AAPL,2024-02-28,0.2456,1.914,Down,Down,1,-0.369,1.64
AAPL,2024-02-29,0.291,3.146,Down,Down,1,-0.603,1.65
AAPL,2024-03-01,0.1763,2.495,Down,Down,1,-2.538,1.69
AAPL,2024-03-04,0.0594,3.792,Down,Down,1,-2.844,1.95
AAPL,2024-03-05,0.0242,5.239,Down,Down,1,-0.588,2.17
AAPL,2024-03-06,0.0438,3.59,Down,Down,1,-0.071,2.09
AAPL,2024-03-07,0.0398,3.277,Down,Up,0,1.024,1.99
AAPL,2024-03-08,0.0725,3.316,Down,Up,0,1.183,2.08
AAPL,2024-03-11,0.2261,2.961,Down,Up,0,0.278,2.06
AAPL,2024-03-12,0.2539,2.45,Down,Down,1,-1.212,2.02
AAPL,2024-03-13,0.1696,2.429,Down,Up,0,1.093,1.96
AAPL,2024-03-14,0.4085,3.023,Down,Down,1,-0.22,1.93
AAPL,2024-03-15,0.3043,3.808,Down,Up,0,0.637,1.88
AAPL,2024-03-18,0.4698,3.216,Down,Up,0,1.359,2.01
AAPL,2024-03-19,0.5153,2.496,Up,Up,1,1.471,1.99
AAPL,2024-03-20,0.6795,2.799,Up,Down,0,-4.086,1.97
AAPL,2024-03-21,0.2707,4.413,Down,Up,0,0.531,2.39
AAPL,2024-03-22,0.3721,2.81,Down,Down,1,-0.83,2.29
AAPL,2024-03-25,0.2036,3.116,Down,Down,1,-0.667,2.22
AAPL,2024-03-26,0.1756,2.822,Down,Up,0,2.121,2.08
AAPL,2024-03-27,0.3821,2.662,Down,Down,1,-1.056,2.07
AAPL,2024-03-28,0.3223,2.573,Down,Down,1,-0.846,2.03
AAPL,2024-04-01,0.258,2.552,Down,Down,1,-0.7,1.93
AAPL,2024-04-02,0.2127,2.44,Down,Up,0,0.48,1.83
AAPL,2024-04-03,0.2904,2.072,Down,Down,1,-0.489,1.74
AAPL,2024-04-04,0.237,2.296,Down,Up,0,0.45,1.76
AAPL,2024-04-05,0.3049,2.303,Down,Down,1,-0.666,1.64
AAPL,2024-04-08,0.2215,2.186,Down,Up,0,0.724,1.54
AAPL,2024-04-09,0.3491,1.912,Down,Down,1,-1.114,1.46
AAPL,2024-04-10,0.2162,1.949,Down,Up,0,4.327,1.48
