symbol,date,pUp,decide,retNextDayPct,atrPct
AAPL,2024-01-05,0.0565,Down,2.417,1.71
AAPL,2024-01-09,0.1832,Down,0.567,1.73
AAPL,2024-01-11,0.3377,Down,0.178,1.7
AAPL,2024-01-17,0.1367,Down,3.257,1.77
AAPL,2024-01-23,0.8924,Up,-0.348,1.75
AAPL,2024-01-24,0.8786,Up,-0.17,1.66
AAPL,2024-01-25,0.8315,Up,-0.901,1.66
AAPL,2024-01-26,0.6787,Up,-0.359,1.64
AAPL,2024-01-29,0.589,Up,-1.925,1.63
AAPL,2024-01-31,0.1759,Down,1.334,1.81
AAPL,2024-02-02,0.1396,Down,0.985,2.12
AAPL,2024-02-06,0.4816,Down,0.058,1.95
AAPL,2024-02-07,0.6461,Up,-0.575,1.86
AAPL,2024-02-08,0.4682,Down,0.281,1.78
AAPL,2024-02-09,0.5429,Up,-0.9,1.68
AAPL,2024-02-20,0.1397,Down,0.419,1.67
AAPL,2024-02-21,0.1998,Down,1.124,1.6
AAPL,2024-02-26,0.1939,Down,0.811,1.53
AAPL,2024-03-07,0.0398,Down,1.024,1.99
AAPL,2024-03-08,0.0725,Down,1.183,2.08
AAPL,2024-03-11,0.2261,Down,0.278,2.06
AAPL,2024-03-13,0.1696,Down,1.093,1.96
AAPL,2024-03-15,0.3043,Down,0.637,1.88
AAPL,2024-03-18,0.4698,Down,1.359,2.01
AAPL,2024-03-20,0.6795,Up,-4.086,1.97
AAPL,2024-03-21,0.2707,Down,0.531,2.39
AAPL,2024-03-26,0.1756,Down,2.121,2.08
AAPL,2024-04-02,0.2127,Down,0.48,1.83
AAPL,2024-04-04,0.237,Down,0.45,1.76
AAPL,2024-04-08,0.2215,Down,0.724,1.54
AAPL,2024-04-10,0.2162,Down,4.327,1.48
AAPL,2024-04-12,0.8085,Up,-2.186,1.87
AAPL,2024-04-15,0.5672,Up,-1.917,1.98
AAPL,2024-04-19,0.1307,Down,0.509,2
AAPL,2024-04-22,0.2036,Down,0.639,1.93
AAPL,2024-04-23,0.2634,Down,1.27,1.83
AAPL,2024-04-24,0.4091,Down,0.515,1.81
AAPL,2024-04-25,0.5397,Up,-0.347,1.75
AAPL,2024-04-29,0.8754,Up,-1.827,1.95
AAPL,2024-04-30,0.5571,Up,-0.605,2.11
AAPL,2024-05-01,0.4199,Down,2.203,2.13
