symbol,date,actual,pred,pUp,conf,ret1d,sum_up_contrib,sum_down_contrib,net_margin,wrong_side_power,right_side_power,margin_wrong_minus_right,wrong_type,high_conf_wrong,regime_flags,top_misleading,why,raw_stochK,score_stochK,w_stochK,contrib_stochK,reason_stochK,raw_MACD,score_MACD,w_MACD,contrib_MACD,reason_MACD,raw_RSI,score_RSI,w_RSI,contrib_RSI,reason_RSI,raw_OBV,score_OBV,w_OBV,contrib_OBV,reason_OBV,raw_volZ,score_volZ,w_volZ,contrib_volZ,reason_volZ,raw_pctB,score_pctB,w_pctB,contrib_pctB,reason_pctB,raw_deltaATRpct,score_deltaATRpct,w_deltaATRpct,contrib_deltaATRpct,reason_deltaATRpct,raw_gapNorm,score_gapNorm,w_gapNorm,contrib_gapNorm,reason_gapNorm,raw_atrPct,score_atrPct,w_atrPct,contrib_atrPct,reason_atrPct
AAPL,2024-01-05,1,-1,0.056475,0.887050,0.024175,0.3799,-1.499,-1.119,1.499,0.3799,1.119,features_agreed_with_wrong_call,1,,stochK|MACD|RSI,"Called DOWN (pUp=0.056, conf=0.887) but next day was UP (ret1d=0.0242). Wrong-side power=1.499, right-side power=0.3799, margin=1.119. Culprits: stochK→-0.8702 [stochK=5.193 (<20 oversold) → down-bias w/ rebound risk]; MACD→-0.3306 [MACD/ATR=-0.6612 (bearish momentum)]; RSI→-0.2801 [RSI=28.79 (bearish)]. Top pushes toward UP: OBV=53051200 (w=1.000, c=0.2500), volZ=0.5198 (w=1.000, c=0.1299). Top pushes toward DOWN: stochK=5.193 (w=1.000, c=0.8702), MACD=-0.6612 (w=1.000, c=0.3306), RSI=28.79 (w=1.000, c=0.2801). Gates: atr_pass:PASS, minConf_pass:PASS.",5.192774628826956,-0.870181,1.000000,-0.870181,stochK=5.193 (<20 oversold) → down-bias w/ rebound risk,-0.6612364643759595,-0.330618,1.000000,-0.330618,MACD/ATR=-0.6612 (bearish momentum),28.79447084566189,-0.280138,1.000000,-0.280138,RSI=28.79 (bearish),53051200,0.250000,1.000000,0.250000,OBV sign + (buy-volume bias),0.5197809473797347,0.129945,1.000000,0.129945,volZ=0.5198,-0.06983882862318068,-0.017460,1.000000,-0.017460,pctB=-0.0698 (lower band) → oversold/mean-revert risk,-0.00035629917829119867,-0.000178,1.000000,-0.000178,ΔATR%=-0.0004 falling vol → mean-revert bias,0.04397879690183348,0.000000,1.000000,0.000000,gapNorm=0.0440 (neutral),0.017067425301560277,0.000000,1.000000,0.000000,atrPct=0.0171
AAPL,2024-01-09,1,-1,0.183231,0.633538,0.005671,0.2992,-1.095,-0.7956,1.095,0.2992,0.7956,gap_reversal,1,,gapNorm|stochK|MACD,"Called DOWN (pUp=0.183, conf=0.634) but next day was UP (ret1d=0.0057). Wrong-side power=1.095, right-side power=0.2992, margin=0.7956. Culprits: gapNorm→-0.3838 [gapNorm=-0.8838 ≤ -0.5 → gap-down continuation bias]; stochK→-0.2904 [stochK=28.38 (≤40 down-bias)]; MACD→-0.2334 [MACD/ATR=-0.4667 (bearish momentum)]. Top pushes toward UP: OBV=69353900 (w=1.000, c=0.2500), pctB=0.1969 (w=1.000, c=0.0492). Top pushes toward DOWN: gapNorm=-0.8838 (w=1.000, c=0.3838), stochK=28.38 (w=1.000, c=0.2904), MACD=-0.4667 (w=1.000, c=0.2334). Gates: atr_pass:PASS, minConf_pass:PASS.",28.38379657265356,-0.290405,1.000000,-0.290405,stochK=28.38 (≤40 down-bias),-0.46672047481478673,-0.233360,1.000000,-0.233360,MACD/ATR=-0.4667 (bearish momentum),40.60138162433455,0.000000,1.000000,0.000000,RSI=40.60 (neutral),69353900,0.250000,1.000000,0.250000,OBV sign + (buy-volume bias),-0.7483040882039036,-0.187076,1.000000,-0.187076,volZ=-0.7483,0.196945980935141,0.049236,1.000000,0.049236,pctB=0.1969 (lower band) → oversold/mean-revert risk,-0.00027640881986159063,-0.000138,1.000000,-0.000138,ΔATR%=-0.0003 falling vol → mean-revert bias,-0.8838108489037766,-0.383811,1.000000,-0.383811,gapNorm=-0.8838 ≤ -0.5 → gap-down continuation bias,0.01734219266946296,0.000000,1.000000,0.000000,atrPct=0.0173
AAPL,2024-01-11,1,-1,0.337687,0.324625,0.001778,0.3161,-0.4638,-0.1477,0.4638,0.3161,0.1477,features_agreed_with_wrong_call,0,,stochK|MACD|volZ,"Called DOWN (pUp=0.338, conf=0.325) but next day was UP (ret1d=0.0018). Wrong-side power=0.4638, right-side power=0.3161, margin=0.1477. Culprits: stochK→-0.2262 [stochK=30.95 (≤40 down-bias)]; MACD→-0.1550 [MACD/ATR=-0.3100 (bearish momentum)]; volZ→-0.0826 [volZ=-0.3306]. Top pushes toward UP: OBV=67018400 (w=1.000, c=0.2500), pctB=0.2637 (w=1.000, c=0.0659), deltaATRpct=0.0003 (w=1.000, c=0.0001). Top pushes toward DOWN: stochK=30.95 (w=1.000, c=0.2262), MACD=-0.3100 (w=1.000, c=0.1550), volZ=-0.3306 (w=1.000, c=0.0826). Gates: atr_pass:PASS, minConf_pass:BLOCK.",30.953739973072718,-0.226157,1.000000,-0.226157,stochK=30.95 (≤40 down-bias),-0.3099939490486462,-0.154997,1.000000,-0.154997,MACD/ATR=-0.3100 (bearish momentum),42.1375934761942,0.000000,1.000000,0.000000,RSI=42.14 (neutral),67018400,0.250000,1.000000,0.250000,OBV sign + (buy-volume bias),-0.33057212632845534,-0.082643,1.000000,-0.082643,volZ=-0.3306,0.2636966745646251,0.065924,1.000000,0.065924,pctB=0.2637 (mid),0.00028158976256356313,0.000141,1.000000,0.000141,ΔATR%=0.0003 rising vol → continuation amplification,0.1879751007773489,0.000000,1.000000,0.000000,gapNorm=0.1880 (neutral),0.017002690740362984,0.000000,1.000000,0.000000,atrPct=0.0170
AAPL,2024-01-17,1,-1,0.136714,0.726571,0.032571,0.0511,-1.901,-1.850,1.901,0.0511,1.850,gap_reversal,1,,gapNorm|stochK|OBV,"Called DOWN (pUp=0.137, conf=0.727) but next day was UP (ret1d=0.0326). Wrong-side power=1.901, right-side power=0.0511, margin=1.850. Culprits: gapNorm→-0.7852 [gapNorm=-1.285 ≤ -0.5 → gap-down continuation bias]; stochK→-0.5669 [stochK=17.32 (<20 oversold) → down-bias w/ rebound risk]; OBV→-0.2500 [OBV sign − (sell-volume bias)]. Top pushes toward UP: pctB=0.2040 (w=1.000, c=0.0510), deltaATRpct=0.0002 (w=1.000, c=0.0001). Top pushes toward DOWN: gapNorm=-1.285 (w=1.000, c=0.7852), stochK=17.32 (w=1.000, c=0.5669), OBV=-5424200 (w=1.000, c=0.2500). Gates: atr_pass:PASS, minConf_pass:PASS.",17.322246758429976,-0.566944,1.000000,-0.566944,stochK=17.32 (<20 oversold) → down-bias w/ rebound risk,-0.22215179272203378,-0.111076,1.000000,-0.111076,MACD/ATR=-0.2222 (bearish momentum),36.7093648997041,-0.082266,1.000000,-0.082266,RSI=36.71 (bearish),-5424200,-0.250000,1.000000,-0.250000,OBV sign − (sell-volume bias),-0.4234402898801417,-0.105860,1.000000,-0.105860,volZ=-0.4234,0.20403578496138722,0.051009,1.000000,0.051009,pctB=0.2040 (mid),0.00017526745603915414,0.000088,1.000000,0.000088,ΔATR%=0.0002 rising vol → continuation amplification,-1.2851933494516077,-0.785193,1.000000,-0.785193,gapNorm=-1.285 ≤ -0.5 → gap-down continuation bias,0.017681113842223754,0.000000,1.000000,0.000000,atrPct=0.0177
AAPL,2024-01-23,-1,1,0.892425,0.784849,-0.003484,1.675,-0.1888,1.486,1.675,0.1888,1.486,gap_reversal,1,,stochK|OBV|pctB,"Called UP (pUp=0.892, conf=0.785) but next day was DOWN (ret1d=-0.0035). Wrong-side power=1.675, right-side power=0.1888, margin=1.486. Culprits: stochK→0.9085 [stochK=96.34 (>80 overbought) → up-bias w/ reversal risk]; OBV→0.2500 [OBV sign + (buy-volume bias)]; pctB→0.2219 [pctB=0.8876 (upper band) → overbought/continuation risk]. Top pushes toward UP: stochK=96.34 (w=1.000, c=0.9085), OBV=243974100 (w=1.000, c=0.2500), pctB=0.8876 (w=1.000, c=0.2219). Top pushes toward DOWN: volZ=-0.7526 (w=1.000, c=0.1881), deltaATRpct=-0.0013 (w=1.000, c=0.0006). Gates: atr_pass:PASS, minConf_pass:PASS.",96.34141683422277,0.908535,1.000000,0.908535,stochK=96.34 (>80 overbought) → up-bias w/ reversal risk,0.29299902918123416,0.146500,1.000000,0.146500,MACD/ATR=0.2930 (bullish momentum),62.61963545292233,0.065491,1.000000,0.065491,RSI=62.62 (bullish),243974100,0.250000,1.000000,0.250000,OBV sign + (buy-volume bias),-0.7525522815286405,-0.188138,1.000000,-0.188138,volZ=-0.7526,0.887550373552373,0.221888,1.000000,0.221888,pctB=0.8876 (upper band) → overbought/continuation risk,-0.0012961016046941151,-0.000648,1.000000,-0.000648,ΔATR%=-0.0013 falling vol → mean-revert bias,0.5828072032439291,0.082807,1.000000,0.082807,gapNorm=0.5828 ≥ 0.5 → gap-up continuation bias,0.01745612686029274,0.000000,1.000000,0.000000,atrPct=0.0175
AAPL,2024-01-24,-1,1,0.878627,0.757254,-0.001697,1.368,-0.0081,1.360,1.368,0.0081,1.360,features_agreed_with_wrong_call,1,,stochK|OBV|pctB,"Called UP (pUp=0.879, conf=0.757) but next day was DOWN (ret1d=-0.0017). Wrong-side power=1.368, right-side power=0.0081, margin=1.360. Culprits: stochK→0.7101 [stochK=88.40 (>80 overbought) → up-bias w/ reversal risk]; OBV→0.2500 [OBV sign + (buy-volume bias)]; pctB→0.2108 [pctB=0.8432 (upper band) → overbought/continuation risk]. Top pushes toward UP: stochK=88.40 (w=1.000, c=0.7101), OBV=190342800 (w=1.000, c=0.2500), pctB=0.8432 (w=1.000, c=0.2108). Top pushes toward DOWN: volZ=-0.0305 (w=1.000, c=0.0076), deltaATRpct=-0.0009 (w=1.000, c=0.0004). Gates: atr_pass:PASS, minConf_pass:PASS.",88.40219553268777,0.710055,1.000000,0.710055,stochK=88.40 (>80 overbought) → up-bias w/ reversal risk,0.3486524402621886,0.174326,1.000000,0.174326,MACD/ATR=0.3487 (bullish momentum),60.919750336521176,0.022994,1.000000,0.022994,RSI=60.92 (bullish),190342800,0.250000,1.000000,0.250000,OBV sign + (buy-volume bias),-0.03050427260159198,-0.007626,1.000000,-0.007626,volZ=-0.0305,0.8432398235452631,0.210810,1.000000,0.210810,pctB=0.8432 (upper band) → overbought/continuation risk,-0.0008761287950120079,-0.000438,1.000000,-0.000438,ΔATR%=-0.0009 falling vol → mean-revert bias,0.12296623740668533,0.000000,1.000000,0.000000,gapNorm=0.1230 (neutral),0.01657999806528073,0.000000,1.000000,0.000000,atrPct=0.0166
AAPL,2024-01-25,-1,1,0.831529,0.663057,-0.009013,1.303,-0.0000,1.303,1.303,0.0000,1.303,features_agreed_with_wrong_call,1,,stochK|OBV|pctB,"Called UP (pUp=0.832, conf=0.663) but next day was DOWN (ret1d=-0.0090). Wrong-side power=1.303, right-side power=0.0000, margin=1.303. Culprits: stochK→0.6592 [stochK=86.37 (>80 overbought) → up-bias w/ reversal risk]; OBV→0.2500 [OBV sign + (buy-volume bias)]; pctB→0.2044 [pctB=0.8177 (upper band) → overbought/continuation risk]. Top pushes toward UP: stochK=86.37 (w=1.000, c=0.6592), OBV=135520700 (w=1.000, c=0.2500), pctB=0.8177 (w=1.000, c=0.2044). Top pushes toward DOWN: deltaATRpct=-0.0000 (w=1.000, c=0.0000). Gates: atr_pass:PASS, minConf_pass:PASS.",86.36640469755888,0.659160,1.000000,0.659160,stochK=86.37 (>80 overbought) → up-bias w/ reversal risk,0.3507953366111317,0.175398,1.000000,0.175398,MACD/ATR=0.3508 (bullish momentum),60.06754216079646,0.001689,1.000000,0.001689,RSI=60.07 (bullish),135520700,0.250000,1.000000,0.250000,OBV sign + (buy-volume bias),0.048458708597404435,0.012115,1.000000,0.012115,volZ=0.0485,0.8177404716243147,0.204435,1.000000,0.204435,pctB=0.8177 (upper band) → overbought/continuation risk,-0.000016322630621751905,-0.000008,1.000000,-0.000008,ΔATR%=-0.0000 falling vol → mean-revert bias,0.37018057619697675,0.000000,1.000000,0.000000,gapNorm=0.3702 (neutral),0.01656367543465898,0.000000,1.000000,0.000000,atrPct=0.0166
AAPL,2024-01-26,-1,1,0.678706,0.357412,-0.003586,0.9732,-0.1471,0.8261,0.9732,0.1471,0.8261,features_agreed_with_wrong_call,0,,stochK|OBV|pctB,"Called UP (pUp=0.679, conf=0.357) but next day was DOWN (ret1d=-0.0036). Wrong-side power=0.9732, right-side power=0.1471, margin=0.8261. Culprits: stochK→0.3893 [stochK=75.57 (≥60 up-bias)]; OBV→0.2500 [OBV sign + (buy-volume bias)]; pctB→0.1819 [pctB=0.7276 (mid)]. Top pushes toward UP: stochK=75.57 (w=1.000, c=0.3893), OBV=90926700 (w=1.000, c=0.2500), pctB=0.7276 (w=1.000, c=0.1819). Top pushes toward DOWN: volZ=-0.5883 (w=1.000, c=0.1471), deltaATRpct=-0.0001 (w=1.000, c=0.0001). Gates: atr_pass:PASS, minConf_pass:BLOCK.",75.57060411036402,0.389265,1.000000,0.389265,stochK=75.57 (≥60 up-bias),0.3041453387875092,0.152073,1.000000,0.152073,MACD/ATR=0.3041 (bullish momentum),55.6237453581493,0.000000,1.000000,0.000000,RSI=55.62 (neutral),90926700,0.250000,1.000000,0.250000,OBV sign + (buy-volume bias),-0.5882999834189274,-0.147075,1.000000,-0.147075,volZ=-0.5883,0.7276149826017592,0.181904,1.000000,0.181904,pctB=0.7276 (mid),-0.0001238807643075164,-0.000062,1.000000,-0.000062,ΔATR%=-0.0001 falling vol → mean-revert bias,0.05150440565417913,0.000000,1.000000,0.000000,gapNorm=0.0515 (neutral),0.016439794670351462,0.000000,1.000000,0.000000,atrPct=0.0164
AAPL,2024-01-29,-1,1,0.589011,0.178021,-0.019246,0.8242,-0.1078,0.7165,0.8242,0.1078,0.7165,features_agreed_with_wrong_call,0,,stochK|OBV|pctB,"Called UP (pUp=0.589, conf=0.178) but next day was DOWN (ret1d=-0.0192). Wrong-side power=0.8242, right-side power=0.1078, margin=0.7165. Culprits: stochK→0.2771 [stochK=71.08 (≥60 up-bias)]; OBV→0.2500 [OBV sign + (buy-volume bias)]; pctB→0.1748 [pctB=0.6992 (mid)]. Top pushes toward UP: stochK=71.08 (w=1.000, c=0.2771), OBV=43781100 (w=1.000, c=0.2500), pctB=0.6992 (w=1.000, c=0.1748). Top pushes toward DOWN: volZ=-0.4307 (w=1.000, c=0.1077), deltaATRpct=-0.0002 (w=1.000, c=0.0001). Gates: atr_pass:PASS, minConf_pass:BLOCK.",71.08203590939242,0.277051,1.000000,0.277051,stochK=71.08 (≥60 up-bias),0.24473736969784915,0.122369,1.000000,0.122369,MACD/ATR=0.2447 (bullish momentum),53.92964492605718,0.000000,1.000000,0.000000,RSI=53.93 (neutral),43781100,0.250000,1.000000,0.250000,OBV sign + (buy-volume bias),-0.43070232371661754,-0.107676,1.000000,-0.107676,volZ=-0.4307,0.6992370053261898,0.174809,1.000000,0.174809,pctB=0.6992 (mid),-0.0001657001612303012,-0.000083,1.000000,-0.000083,ΔATR%=-0.0002 falling vol → mean-revert bias,-0.21307746908374448,0.000000,1.000000,0.000000,gapNorm=-0.2131 (neutral),0.01627409450912116,0.000000,1.000000,0.000000,atrPct=0.0163
AAPL,2024-01-31,1,-1,0.175864,0.648273,0.013341,0.1072,-0.6758,-0.5685,0.6758,0.1072,0.5685,gap_reversal,1,,stochK|OBV|gapNorm,"Called DOWN (pUp=0.176, conf=0.648) but next day was UP (ret1d=0.0133). Wrong-side power=0.6758, right-side power=0.1072, margin=0.5685. Culprits: stochK→-0.3626 [stochK=25.50 (≤40 down-bias)]; OBV→-0.2500 [OBV sign − (sell-volume bias)]; gapNorm→-0.0318 [gapNorm=-0.5318 ≤ -0.5 → gap-down continuation bias]. Top pushes toward UP: pctB=0.3079 (w=1.000, c=0.0770), volZ=0.1198 (w=1.000, c=0.0300), deltaATRpct=0.0006 (w=1.000, c=0.0003). Top pushes toward DOWN: stochK=25.50 (w=1.000, c=0.3626), OBV=-67546100 (w=1.000, c=0.2500), gapNorm=-0.5318 (w=1.000, c=0.0318). Gates: atr_pass:PASS, minConf_pass:PASS.",25.497452598596155,-0.362564,1.000000,-0.362564,stochK=25.50 (≤40 down-bias),-0.04297342871408023,-0.021487,1.000000,-0.021487,MACD/ATR=-0.0430 (bearish momentum),39.603452322193085,-0.009914,1.000000,-0.009914,RSI=39.60 (bearish),-67546100,-0.250000,1.000000,-0.250000,OBV sign − (sell-volume bias),0.11982306323294652,0.029956,1.000000,0.029956,volZ=0.1198,0.3078749493697219,0.076969,1.000000,0.076969,pctB=0.3079 (mid),0.0006398205415403257,0.000320,1.000000,0.000320,ΔATR%=0.0006 rising vol → continuation amplification,-0.5318017632974126,-0.031802,1.000000,-0.031802,gapNorm=-0.5318 ≤ -0.5 → gap-down continuation bias,0.018091079968163993,0.000000,1.000000,0.000000,atrPct=0.0181
